Name,ViewCount,CurrentPosition,WeekStartDate
Young Thug,18444772,19,20171102
Banda Sinaloense MS de Sergio Lizárraga,18166133,20,20171102
Vicente Fernández,17938385,21,20171102
Yo Gotti,17935558,22,20171102
Kevin Gates,17656180,23,20171102
XXXTentacion,17064408,24,20171102
Migos,17056046,25,20171102
Los Bukis,17049634,26,20171102
Los Tigres del Norte,16904867,27,20171102
Beyoncé,14907372,28,20171102
A Boogie wit da Hoodie,14784685,29,20171102
Bruno Mars,14320100,30,20171102
Tay-K,13712947,31,20171102
Rihanna,13709125,32,20171102
Metro Boomin,13705192,33,20171102
Joan Sebastian,13664363,34,20171102
Chief Keef,13195133,35,20171102
Laberinto,13166087,36,20171102
J Balvin,13146525,37,20171102
Wiz Khalifa,13137144,38,20171102
SZA,13086610,39,20171102
Bad Bunny,12870714,40,20171102
Logic,12545289,41,20171102
Tierra Cali,12206577,42,20171102
Lil Wayne,11813512,43,20171102
Romeo Santos,11486790,44,20171102
Demi Lovato,11355301,45,20171102
Khalid,11335943,46,20171102
Linkin Park,11290473,47,20171102
Katy Perry,11053651,48,20171102
BTS,10994116,49,20171102
Luis Fonsi,10969776,50,20171102
Nicki Minaj,10815838,51,20171102
Sam Smith,10645134,52,20171102
DJ Khaled,10633046,53,20171102
Daddy Yankee,10612878,54,20171102
Meek Mill,10354504,55,20171102
The Weeknd,10337514,56,20171102
Shakira,10258112,57,20171102
Kendrick Lamar,10114841,58,20171102
Grupo Bronco,10087033,59,20171102
Chalino Sánchez,10064772,60,20171102
Russ,9891780,61,20171102
blackbear,9699807,62,20171102
Drake,9629507,63,20171102
Elvis Presley,9580775,64,20171102
Los Inquietos del Norte,9457622,65,20171102
TWENTY ØNE PILØTS,9451855,66,20171102
Young Dolph,9326959,67,20171102
Tupac,8979332,68,20171102
Charlie Puth,8965576,69,20171102
Dua Lipa,8915245,70,20171102
Juan Gabriel,8856309,71,20171102
Marco Antonio Solís,8764197,72,20171102
Maroon 5,8752625,73,20171102
Grupo Bryndis,8745081,74,20171102
Mike WiLL Made-It,8718332,75,20171102
Los Plebes del Rancho de Ariel Camacho,8717298,76,20171102
$uicideboy$,8716352,77,20171102
G-Eazy,8688190,78,20171102
Los Tucanes De Tijuana,8673884,79,20171102
Marshmello,8653033,80,20171102
Jenni Rivera,8640184,81,20171102
The Chainsmokers,8601558,82,20171102
Metallica,8435337,83,20171102
Calibre 50,8321217,84,20171102
Jacquees,8290444,85,20171102
